Serial Number,Category,Site No,CSN View,ASR Name,ASR EMail,SAM Name,Modem,Site Name,City,State,Installed,Install Status,Contract Line Start,Contract Line End,Entitlement Status,Last Connect Home Date,Model,TLA Part Number,District,Country,SYR Derived Code,SYR Derived Source,Install Base Code,Target Microcode,CE Email,Theater,Division,Region
AP901570,VNX,12218283,12218378,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,GENEVA,AL,9/8/2012 0:00,Install,8/8/2012,9/6/2015,Entitled,,VNX51D156015F,900-567-007,53511 AM CS District,United States,05.32.000.5.209,InstallBase,05.32.000.5.209,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
9F345525,Data Domain,12213639,12213734,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,LITTLE ROCK,AR,1/8/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,53520 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
3F318155,Data Domain,4304012,4304107,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,TOLLESON,AZ,8/14/2014 7:20,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-X-1406-CHAS1,52510 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,West CS Division,58000 CS Region
FL000050,Data Domain,4304012,4304107,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,TOLLESON,AZ,9/30/2014 0:00,Install,10/8/2014,10/7/2017,Entitled,,DD2500-36TB,P-DD2500-36TB,52510 AM CS District,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,West CS Division,58000 CS Region
3F329080,Data Domain,12219457,12219552,,joe.ce@emc.com,,,CUSTOMER TWO,FREMONT,CA,9/29/2014 23:39,Install,7/1/2014,6/30/2015,Entitled,,DD610-6TB,P-X-1406-CHAS1,52517 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,West CS Division,57000 CS Region
AP700361,CLARiiON,12219457,12219552,,joe.ce@emc.com,,,CUSTOMER TWO,FREMONT,CA,9/4/2014 0:00,Install,2/1/2014,4/1/2015,Entitled,,CX4-120C,900-566-008,52517 AM CS District,United States,04.30.000.5.526,InstallBase,04.30.000.5.526,,joe.ce@emc.com,Americas CS Theater,West CS Division,57000 CS Region
2F342041,Data Domain,12214057,12214152,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,MODESTO,CA,12/23/2013 11:24,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,52517 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,West CS Division,57000 CS Region
0F344516,Data Domain,10433197,10433292,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,OXNARD,CA,1/8/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-X-1406-CHAS1,52515 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,West CS Division,58000 CS Region
AP702072,VNX,10433197,10433292,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,OXNARD,CA,12/26/2012 12:00,Install,9/27/2012,10/26/2015,Entitled,,VNX51D156015F,900-567-007,52515 AM CS District,United States,05.32.000.5.209,InstallBase,05.32.000.5.209,,joe.ce@emc.com,Americas CS Theater,West CS Division,58000 CS Region
3F321221,Data Domain,12213696,12213791,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,PLEASANT GROVE,CA,6/11/2013 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,52519 AM CS District,United States,5.2.1.0,InstallBase,5.2.1.0,,joe.ce@emc.com,Americas CS Theater,West CS Division,57000 CS Region
AP700088,VNX,12213696,12213791,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,PLEASANT GROVE,CA,5/31/2012 12:00,Install,5/31/2012,5/30/2015,Entitled,,VNX51D156015F,900-567-007,52519 AM CS District,United States,05.32.000.5.209,InstallBase,05.32.000.5.209,,joe.ce@emc.com,Americas CS Theater,West CS Division,57000 CS Region
AP704521,VNX,3934907,3935002,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,POWAY,CA,12/29/2012 12:00,Install,9/30/2012,10/30/2015,Entitled,,VNX51D156015F,900-567-007,52513 AM CS District,United States,05.32.000.5.209,InstallBase,05.32.000.5.209,,joe.ce@emc.com,Americas CS Theater,West CS Division,58000 CS Region
9F349197,Data Domain,4333843,4333938,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,POWAY,CA,1/8/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,52513 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,West CS Division,58000 CS Region
AP319539,VNX,25932168,25932263,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,RIVERSIDE,CA,3/15/2013 0:00,Install,2/15/2013,3/15/2016,Entitled,,VNX51D156015F,900-567-007,52515 AM CS District,United States,05.32.000.5.209,InstallBase,05.32.000.5.209,,joe.ce@emc.com,Americas CS Theater,West CS Division,58000 CS Region
9F349190,Data Domain,64244,64339,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,WALNUT,CA,1/8/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-6TB,P-DD610-6TB,52515 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,West CS Division,58000 CS Region
2F730037,Data Domain,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,9/18/2014 10:54,Install,6/24/2014,6/23/2018,Entitled,,DD990-CTL-B,P-X-990-CHASS,52323 AM CS District,United States,5.4.2.0,InstallBase,5.4.2.0,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
AP301214,VNX,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,9/6/2012 1:00,Install,8/27/2012,9/26/2015,Entitled,,VNX53D-HANA-B,900-567-002,52323 AM CS District,United States,05.32.000.5.209,InstallBase,05.32.000.5.209,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
FC000020,Isilon,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,8/11/2014 0:00,Install,5/13/2014,9/12/2014,Not Entitled,,A100-BACKUP,100-575-000-01,52323 AM CS District,United States,CUSTOMER INSTALLABLE,InstallBase,CUSTOMER INSTALLABLE,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
MTX04111,Isilon,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,4/6/2012 0:00,Install,1/12/2013,4/6/2015,Entitled,,851-0179,851-0179-01,52323 AM CS District,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
MTX03647,Isilon,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,4/6/2012 0:00,Install,1/12/2013,4/6/2015,Entitled,,851-0179,851-0179-01,52323 AM CS District,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
NN110060,RecoverPoint,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,11/25/2012 12:00,Install,8/27/2012,9/26/2015,Entitled,,VNX-RPHW-G4U,100-562-779,52323 AM CS District,United States,3.5 SP1 P2,InstallBase,3.5 SP1 P2,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
NN310286,RecoverPoint,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,11/25/2012 12:00,Install,,,,,VNX-RPHW-G4U,100-562-779,52323 AM CS District,United States,3.5 SP1 P2,InstallBase,3.5 SP1 P2,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
SX4-0013,Isilon,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,4/6/2012 0:00,Install,1/12/2013,4/6/2015,Entitled,,X200-SATA-S67,610-0001-02,52323 AM CS District,United States,6.5.5.18,InstallBase,6.5.5.18,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
SX4-0014,Isilon,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,4/6/2012 0:00,Install,1/12/2013,4/6/2015,Entitled,,X200-SATA-S67,610-0001-02,52323 AM CS District,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
SX4-0015,Isilon,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,4/6/2012 0:00,Install,1/12/2013,4/6/2015,Entitled,,X200-SATA-S67,610-0001-02,52323 AM CS District,United States,6.5.5.18,InstallBase,6.5.5.18,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
SX4-0016,Isilon,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,4/6/2012 0:00,Install,1/12/2013,4/6/2015,Entitled,,X200-SATA-S67,610-0001-02,52323 AM CS District,United States,7.0.2.9,InstallBase,7.0.2.9,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
SX4-0017,Isilon,15483568,15483663,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOULDER,CO,4/6/2012 0:00,Install,1/12/2013,4/6/2015,Entitled,,X200-SATA-S67,610-0001-02,52323 AM CS District,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
0F337725,Data Domain,10071982,10072077,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,DENVER,CO,9/25/2014 12:16,Install,7/1/2014,6/30/2015,Entitled,,DD610-6TB,P-X-1406-CHAS1,52323 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
3F335182,Data Domain,5085190,5085285,,,,,CUSTOMER TWO,ROCKY HILL,CT,12/3/2014 17:48,Install,,,,,,P-X-1406-CHAS1,52725 AM CS District,United States,,InstallBase,,,,Americas CS Theater,Northeast/Canada CS Division,54000 CS Region
AP916341,VNX,12214041,12214136,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,ALACHUA,FL,4/8/2013 0:00,Install,1/8/2013,2/6/2016,Entitled,,VNX51D156015F,900-567-007,53515 AM CS District,United States,05.32.000.5.209,InstallBase,05.32.000.5.209,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
9F347826,Data Domain,13333817,13333912,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,ALACHUA,FL,1/11/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,53515 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
AP900828,VNX,1930456,1930551,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,JACKSONVILLE,FL,12/28/2012 12:00,Install,9/29/2012,10/28/2015,Entitled,,VNX51D156015F,900-567-007,53515 AM CS District,United States,05.32.000.5.215,InstallBase,05.32.000.5.215,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
9F350573,Data Domain,4920977,4921072,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,JACKSONVILLE,FL,1/8/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,53515 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
AP900820,VNX,13059977,13060072,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,MEDLEY,FL,10/29/2012 6:00,Install,9/29/2012,10/28/2015,Entitled,,VNX51D156015F,900-567-007,53517 AM CS District,United States,05.32.000.5.216,InstallBase,05.32.000.5.216,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
9F345500,Data Domain,13317305,13317400,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,MEDLEY,FL,1/8/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,53517 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
1F316403,Data Domain,12212469,12212564,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,OCOEE,FL,8/13/2014 7:29,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-X-1406-CHAS1,53515 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
AP000084,VNX,12212469,12212564,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,OCOEE,FL,8/31/2012 12:00,Install,8/6/2012,9/4/2015,Entitled,,VNX51D156015F,900-567-007,53515 AM CS District,United States,05.32.000.5.209,InstallBase,05.32.000.5.209,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
9F350324,Data Domain,64844,64939,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,PALMETTO,FL,1/12/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-6TB,P-DD610-6TB,53517 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
AP702073,VNX,64844,64939,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,PALMETTO,FL,12/28/2012 12:00,Install,9/29/2012,10/28/2015,Entitled,,VNX51D156015F,900-567-007,53517 AM CS District,United States,05.32.000.5.215,InstallBase,05.32.000.5.215,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
9F346728,Data Domain,4451846,4451941,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,RIVIERA BEACH,FL,1/8/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,53517 AM CS District,United States,5.4.0.8,InstallBase,5.4.0.8,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
AP104181,VNX,4451846,4451941,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,RIVIERA BEACH,FL,12/8/2011 0:00,Install,12/8/2014,4/1/2015,Entitled,,VNX51D156015F,900-567-007,53517 AM CS District,United States,05.32.000.5.216,InstallBase,05.32.000.5.216,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,68000 CS Region
AP002618,CLARiiON,7844990,7845085,,,,,CUSTOMER TWO,COLLEGE PARK,GA,7/29/2008 0:00,Install - T&M,,,,,CX3-10C-DE,100-561-487,53513 AM CS District,United States,03.26.010.5.032,InstallBase,03.26.010.5.032,,,Americas CS Theater,Mid-Atlantic CS Division,64000 CS Region
9F349187,Data Domain,12219405,12219500,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,COLLEGE PARK,GA,1/8/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-6TB,P-DD610-6TB,53513 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Mid-Atlantic CS Division,64000 CS Region
3F334053,Data Domain,11290426,11290521,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,ANKENY,IA,9/5/2014 10:19,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-X-1406-CHAS1,52223 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,59000 CS Region
AP800457,CLARiiON,11290426,11290521,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,ANKENY,IA,9/4/2014 0:00,Install,2/1/2014,4/1/2015,Entitled,,CX4-120C,900-566-008,52223 AM CS District,United States,04.30.000.5.526,InstallBase,04.30.000.5.526,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,59000 CS Region
0F342171,Data Domain,4269858,4269953,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOISE,ID,9/10/2014 15:35,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-X-1406-CHAS1,52314 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
FL000036,Data Domain,4269858,4269953,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOISE,ID,9/29/2014 0:00,Install,10/8/2014,10/7/2017,Entitled,,DD2500-36TB,P-DD2500-36TB,52314 AM CS District,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
AP900817,VNX,95447,95542,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,BOISE,ID,10/30/2012 0:00,Install,9/30/2012,10/30/2015,Entitled,,VNX51D156015F,900-567-007,52314 AM CS District,United States,05.32.000.5.215,InstallBase,05.32.000.5.215,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
3F308148,Data Domain,12212497,12212592,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,POST FALLS,ID,7/14/2014 7:44,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-X-1406-CHAS1,52319 AM CS District,United States,5.2.1.5,InstallBase,5.2.1.5,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
AP900815,VNX,12212497,12212592,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,POST FALLS,ID,12/29/2012 12:00,Install,9/30/2012,10/30/2015,Entitled,,VNX51D156015F,900-567-007,52319 AM CS District,United States,05.32.000.5.209,InstallBase,05.32.000.5.209,,joe.ce@emc.com,Americas CS Theater,West CS Division,55000 CS Region
0F350614,Data Domain,66997,67092,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,DES PLAINES,IL,11/26/2012 13:42,Install,7/1/2014,6/30/2015,Not Entitled,,,P-DD610-6TB,52119 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,53000 CS Region
1F338003,Data Domain,66997,67092,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,DES PLAINES,IL,11/13/2014 11:42,Install,7/1/2014,6/30/2015,Entitled,,DD610-6TB,P-X-1406-CHAS1,52119 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,53000 CS Region
AP902200,VNX,66997,67092,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,DES PLAINES,IL,3/18/2012 1:00,Install,3/18/2012,3/17/2015,Entitled,,VNX51D156015F,900-567-007,52119 AM CS District,United States,05.32.000.5.215,InstallBase,05.32.000.5.215,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,53000 CS Region
9F350348,Data Domain,12214045,12214140,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,LINCOLN,IL,1/11/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,52130 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,53000 CS Region
AP900818,VNX,12214045,12214140,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,LINCOLN,IL,12/28/2012 12:00,Install,9/29/2012,10/28/2015,Entitled,,VNX51D156015F,900-567-007,52130 AM CS District,United States,05.32.000.5.215,InstallBase,05.32.000.5.215,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,53000 CS Region
9F343259,Data Domain,12214007,12214102,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,INDIANAPOLIS,IN,1/8/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,52125 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,65000 CS Region
AP903953,VNX,12214007,12214102,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,INDIANAPOLIS,IN,11/7/2011 9:00,Install,11/7/2014,4/1/2015,Entitled,,VNX51D156015F,900-567-007,52125 AM CS District,United States,05.32.000.5.215,InstallBase,05.32.000.5.215,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,65000 CS Region
9F350576,Data Domain,12214009,12214104,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,OLATHE,KS,1/8/2010 0:00,Install,7/1/2014,6/30/2015,Entitled,,DD610-3500G,P-DD610-3500G,52113 AM CS District,United States,5.2.6.0,InstallBase,5.2.6.0,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,59000 CS Region
AP900829,VNX,12214009,12214104,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,OLATHE,KS,12/28/2012 12:00,Install,9/29/2012,10/28/2015,Entitled,,VNX51D156015F,900-567-007,52113 AM CS District,United States,05.32.000.5.209,InstallBase,05.32.000.5.209,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,59000 CS Region
2001810,ESRS,2064598,2064693,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,LEXINGTON,KY,11/12/2009 10:45,Install,,,,,ESRS GW 100,953-001-994,53217 AM CS District,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,56000 CS Region
4005731,ESRS,2064598,2064693,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,LEXINGTON,KY,8/17/2012 0:00,Install,,,,,ESRS-GW-200,953-002-303,53217 AM CS District,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,56000 CS Region
4008253,ESRS,2064598,2064693,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,LEXINGTON,KY,10/22/2012 0:00,Install,,,,,ESRS-GW-200,953-002-303,53217 AM CS District,United States,,InstallBase,,,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,56000 CS Region
HK605364,Symmetrix,2064598,2064693,JOE CE,joe.ce@emc.com,,,CUSTOMER TWO,LEXINGTON,KY,1/15/2013 12:00,Install,8/17/2012,9/15/2015,Entitled,1/28/2015 14:15,SB-3D,900-886-010,53217 AM CS District,United States,5876.268.174,PROC,5876.268.174,5876.268.174,joe.ce@emc.com,Americas CS Theater,Midwest CS Division,56000 CS Region
5002707,RecoverPoint,17204298,17204393,,,,,CUSTOMER TWO,LEXINGTON,KY,8/29/2012 0:00,Install,8/29/2012,8/28/2015,Entitled,,RPS-V53,100S-001829,53217 AM CS District,United States,,InstallBase,,,,Americas CS Theater,Midwest CS Division,56000 CS Region
